Number,MazeNumber,Cue1,Cue2,LearningStart,LearningEnd,ExperimentStart,ExperimentEnd,ExperimentCondition,OBJECT_1_LearningGazeTime,OBJECT_1_ExperimentGazeTime,OBJECT_2_LearningGazeTime,OBJECT_2_ExperimentGazeTime,DISTAL_LearningGazeTime,DISTAL_ExperimentGazeTime
1,2,TRAFFIC_CONE.OBJ ,FIREPLACE.OBJ,19992,22740,23012,24505,,0.99781,0.8042,1.51075,0.36035,0,0
2,19,WISKEY_BARREL.OBJ ,GASSTOVE.OBJ,25699,27826,28098,29110,,0,0,0,0,0,0
3,7,VAN.OBJ ,SPEAKER.OBJ,30133,31558,31829,32813,,0.20801,0.55445,0.38794,0.16626,0,0
4,14,GRANDFATHERCLOCKJUNE.OBJ ,FAN.OBJ,33340,34905,35177,36271,,0,0,0.55444,0.37451,0.85962,1.60742
5,11,FIRSTAID.OBJ ,VACUUM.OBJ,37277,38919,39191,40210,,0.61011,0,0.56909,0.72119,0.20776,0
6,10,ICE_MACHINE.OBJ ,COOLER.OBJ,40678,43744,44016,44696,,0.3877,0,1.0398,0.3606,0,0
7,12,TRAFFICDRUM.OBJ ,PAINT_CAN.OBJ,45403,49472,49743,51340,,0.24976,0.23535,0.63745,0.38843,0.24927,0
8,1,WET_FLOOR_SIGN.OBJ ,GASCONTAINER.OBJ,52838,54101,54372,55087,,0,0,0.34668,0.24878,0,0
9,6,PARKBENCH.OBJ ,FIREEXTINGUISHER.OBJ,55957,57849,58121,58858,,0.83154,0,0,0,0,0
10,3,STREET-LIGHT.OBJ ,BEACH_BALL.OBJ,62215,65913,66184,67164,,0.47144,0,0.52686,0,0,0
11,13,CABINENT.OBJ ,CAR.OBJ,68647,70145,70417,71441,,0,0,0.47071,0.49951,0,0
12,15,VENDING.OBJ ,DESKJUNE.OBJ,71979,73223,73494,74235,,0,0,0.7627,0,0,0
13,18,RADIOJUNE.OBJ ,BED.OBJ,74669,75960,76232,77029,,0.31836,0.2915,0,0,0,0
14,16,BUS.OBJ ,TV.OBJ,77436,79348,79620,80787,,0.67823,0.73486,0,0,0.22192,0
15,4,FIRE_HYDRANTV2.OBJ ,PLANTJULY.OBJ,81571,82877,83149,84041,,0,0.34595,0,0,0,0
16,5,LOCKER.OBJ ,WOODEN_CRATE.OBJ,84464,86029,86301,86798,,0.36035,0,0,0,0,0
17,17,LAWNCHAIR.OBJ ,PHONE.OBJ,87240,89360,89631,91063,,0,0,0.23584,0.34644,0,0
18,8,SIDETABLE.OBJ ,NOTICEBOARD.OBJ,91495,93451,93722,94670,,0,0,1.09546,0,0,0
19,9,TELESCOPEJUNE(2).OBJ ,METAL_BARREL.OBJ,95260,96612,96884,97265,,0.30444,0,0.44385,1.10962,0,0
20,20,PCJULY.OBJ ,PICNICTABLEV3.OBJ,97642,98951,99223,100260,,0.69312,0,0,0.31885,0,0
1,20,PCJULY.OBJ ,PICNICTABLEV3.OBJ,117100,118249,118522,119223,,0,0,0,0,0,0
2,15,VENDING.OBJ ,DESKJUNE.OBJ,119556,120800,121071,121682,,0,0,0,0,0,0
3,11,FIRSTAID.OBJ ,VACUUM.OBJ,122243,123712,123985,124860,,0,0,0,0,0,0
4,7,VAN.OBJ ,SPEAKER.OBJ,125207,126551,126824,128102,,0,0,0,0,0,0
5,9,TELESCOPEJUNE(2).OBJ ,METAL_BARREL.OBJ,128468,130146,130418,130843,,0,0,0,0,0,0
6,10,ICE_MACHINE.OBJ ,COOLER.OBJ,131504,134073,134346,135031,,0,0,0,0,0,0
7,17,LAWNCHAIR.OBJ ,PHONE.OBJ,135409,137677,137951,139316,,0,0,0,0,0,0
8,1,WET_FLOOR_SIGN.OBJ ,GASCONTAINER.OBJ,139943,141991,142263,143269,,0,0,0,0,0,0
9,8,SIDETABLE.OBJ ,NOTICEBOARD.OBJ,143727,145601,145874,146629,,0,0,0,0,0,0
10,13,CABINENT.OBJ ,CAR.OBJ,148892,152353,152626,153620,,0,0,0,0,0,0
11,5,LOCKER.OBJ ,WOODEN_CRATE.OBJ,154052,154812,155085,155457,,0,0,0,0,0,0
12,4,FIRE_HYDRANTV2.OBJ ,PLANTJULY.OBJ,156274,157553,157825,159191,,0,0,0,0,0,0
13,6,PARKBENCH.OBJ ,FIREEXTINGUISHER.OBJ,159581,161159,161431,162046,,0,0,0,0,0,0
14,19,WISKEY_BARREL.OBJ ,GASSTOVE.OBJ,162483,165356,165630,166403,,0,0,0,0,0,0
15,3,STREET-LIGHT.OBJ ,BEACH_BALL.OBJ,166770,167869,168144,168754,,0,0,0,0,0,0
16,16,BUS.OBJ ,TV.OBJ,169053,170633,170908,171773,,0,0,0,0,0,0
17,2,TRAFFIC_CONE.OBJ ,FIREPLACE.OBJ,172195,173509,173783,174720,,0,0,0,0,0,0
18,12,TRAFFICDRUM.OBJ ,PAINT_CAN.OBJ,175059,177110,177383,178251,,0,0,0,0,0,0
19,18,RADIOJUNE.OBJ ,BED.OBJ,178642,180686,180961,183340,,0,0,0,0,0,0
20,14,GRANDFATHERCLOCKJUNE.OBJ ,FAN.OBJ,183684,186113,186385,188098,,0,0,0,0,0,0
